# Binary

15K, _2mm
15K, _3mm
15K, adi
15K, atax
14K, bicg
64B, build
15K, cholesky
15K, correlation
15K, covariance
1.9K, deps
15K, doitgen
1.8K, durbin
64B, examples
15K, fdtd_2d
15K, floyd_warshall
15K, gemm
15K, gemver
15K, gesummv
15K, gramschmidt
15K, heat_3d
64B, incremental
744B, jacobi_1d
15K, jacobi_2d
15K, lu
15K, ludcmp
15K, mvt
15K, nussinov
15K, seidel_2d
15K, symm
15K, syr2k
15K, syrk
15K, trisolv
1.9K, trmm

# Wasm

3.7K _2mm.wasm
4.2K _3mm.wasm
3.7K adi.wasm
2.7K atax.wasm
813B bicg.wasm
3.5K cholesky.wasm
3.4K correlation.wasm
3.1K covariance.wasm
4.1K deriche.wasm
3.2K doitgen.wasm
2.6K durbin.wasm
3.6K fdtd_2d.wasm
2.8K floyd_warshall.wasm
3.1K gemm.wasm
3.5K gemver.wasm
2.9K gesummv.wasm
3.4K gramschmidt.wasm
3.5K heat_3d.wasm
429B jacobi_1d.wasm
3.0K jacobi_2d.wasm
3.5K lu.wasm
3.9K ludcmp.wasm
2.9K mvt.wasm
3.2K nussinov.wasm
2.7K seidel_2d.wasm
3.3K symm.wasm
3.3K syr2k.wasm
3.1K syrk.wasm
2.6K trisolv.wasm
3.1K trmm.wasm
